id,CI,e_CI,n_CI,[CI],e_[CI],n_[CI],err_CI,OI,e_OI,n_OI,[OI],e_[OI],n_[OI],err_OI,NaI,e_NaI,n_NaI,[NaI],e_[NaI],n_[NaI],err_NaI,MgI,e_MgI,n_MgI,[MgI],e_[MgI],n_[MgI],err_MgI,AlI,e_AlI,n_AlI,[AlI],e_[AlI],n_[AlI],err_AlI,SiI,e_SiI,n_SiI,[SiI],e_[SiI],n_[SiI],err_SiI,SI,e_SI,n_SI,[SI],e_[SI],n_[SI],err_SI,KI,e_KI,n_KI,[KI],e_[KI],n_[KI],err_KI,CaI,e_CaI,n_CaI,[CaI],e_[CaI],n_[CaI],err_CaI,ScI,e_ScI,n_ScI,[ScI],e_[ScI],n_[ScI],err_ScI,ScII,e_ScII,n_ScII,[ScII],e_[ScII],n_[ScII],err_ScII,TiI,e_TiI,n_TiI,[TiI],e_[TiI],n_[TiI],err_TiI,TiII,e_TiII,n_TiII,[TiII],e_[TiII],n_[TiII],err_TiII,VI,e_VI,n_VI,[VI],e_[VI],n_[VI],err_VI,CrI,e_CrI,n_CrI,[CrI],e_[CrI],n_[CrI],err_CrI,CrII,e_CrII,n_CrII,[CrII],e_[CrII],n_[CrII],err_CrII,MnI,e_MnI,n_MnI,[MnI],e_[MnI],n_[MnI],err_MnI,FeI,e_FeI,n_FeI,[FeI],e_[FeI],n_[FeI],err_FeI,FeII,e_FeII,n_FeII,[FeII],e_[FeII],n_[FeII],err_FeII,CoI,e_CoI,n_CoI,[CoI],e_[CoI],n_[CoI],err_CoI,NiI,e_NiI,n_NiI,[NiI],e_[NiI],n_[NiI],err_NiI,CuI,e_CuI,n_CuI,[CuI],e_[CuI],n_[CuI],err_CuI,ZnI,e_ZnI,n_ZnI,[ZnI],e_[ZnI],n_[ZnI],err_ZnI,YII,e_YII,n_YII,[YII],e_[YII],n_[YII],err_YII,CH,e_CH,n_CH,[CH],e_[CH],n_[CH],err_CH
Sun,8.398,0.056,4,0.000,0.000,4,0.000,8.647,0.006,3,0.000,0.000,3,0.000,6.288,0.129,4,0.000,0.000,4,0.000,7.600,0.060,5,0.000,0.000,5,0.000,6.389,0.036,2,0.000,0.000,2,0.000,7.490,0.055,14,0.000,0.000,14,0.000,7.093,0.065,4,0.000,0.000,4,0.000,5.243,0.000,1,0.000,0.000,1,0.000,6.285,0.041,11,0.000,0.000,11,0.000,3.095,0.017,4,0.000,0.000,4,0.000,3.049,0.010,5,0.000,0.000,5,0.000,4.920,0.048,18,0.000,0.000,18,0.000,4.972,0.054,11,0.000,0.000,11,0.000,3.875,0.045,9,0.000,0.000,9,0.000,5.597,0.049,10,0.000,0.000,10,0.000,5.613,0.080,5,0.000,0.000,5,0.000,5.286,0.058,8,0.000,0.000,8,0.000,7.421,0.064,92,0.000,0.000,92,0.000,7.429,0.073,17,0.000,0.000,17,0.000,4.938,0.102,6,0.000,0.000,6,0.000,6.237,0.043,20,0.000,0.000,20,0.000,4.164,0.085,4,0.000,0.000,4,0.000,4.523,0.083,3,0.000,0.000,3,0.000,2.170,0.070,5,0.000,0.000,5,0.000,8.362,0.002,3,0.000,0.000,3,0.000
K11,8.425,0.067,4,0.027,0.015,4,0.011,8.706,0.017,3,0.058,0.012,3,0.011,6.333,0.123,4,0.045,0.017,4,0.010,7.635,0.046,5,0.035,0.026,5,0.014,6.450,0.028,2,0.061,0.008,2,0.008,7.537,0.066,14,0.047,0.018,14,0.005,7.129,0.080,4,0.036,0.040,4,0.023,5.322,0.000,1,0.079,0.000,1,0.010,6.351,0.036,11,0.066,0.018,11,0.009,3.182,0.038,4,0.086,0.037,4,0.022,3.150,0.021,5,0.101,0.018,5,0.013,4.985,0.065,18,0.065,0.021,18,0.009,5.042,0.050,11,0.070,0.027,11,0.013,3.952,0.052,9,0.078,0.017,9,0.009,5.644,0.058,10,0.047,0.020,10,0.009,5.668,0.084,5,0.055,0.020,5,0.013,5.347,0.051,8,0.060,0.025,8,0.011,7.481,0.069,94,0.062,0.024,92,0.010,7.478,0.046,16,0.064,0.020,16,0.010,4.980,0.106,7,0.062,0.007,6,0.044,6.303,0.048,20,0.066,0.022,20,0.007,4.244,0.079,4,0.080,0.011,4,0.008,4.559,0.044,3,0.036,0.039,3,0.028,2.248,0.059,5,0.078,0.024,5,0.017,8.416,0.005,3,0.054,0.007,3,0.007
HD1178,8.520,0.088,4,0.122,0.035,4,0.022,8.826,0.083,3,0.179,0.077,3,0.055,6.262,0.125,4,-0.027,0.020,4,0.012,7.698,0.038,5,0.098,0.031,5,0.017,6.565,0.054,2,0.176,0.018,2,0.018,7.528,0.067,14,0.038,0.031,14,0.009,7.199,0.093,4,0.106,0.037,4,0.022,5.274,0.000,1,0.031,0.000,1,0.011,6.357,0.046,11,0.072,0.028,11,0.011,3.192,0.024,4,0.096,0.032,4,0.019,3.189,0.055,5,0.140,0.053,5,0.028,5.030,0.062,17,0.113,0.024,17,0.010,5.080,0.042,11,0.108,0.046,11,0.017,3.952,0.056,9,0.078,0.018,9,0.010,5.613,0.057,9,0.017,0.022,9,0.009,5.623,0.071,5,0.010,0.018,5,0.013,5.238,0.041,8,-0.048,0.025,8,0.011,7.433,0.065,93,0.013,0.023,91,0.010,7.440,0.044,17,0.011,0.047,17,0.015,4.965,0.107,7,0.053,0.037,6,0.044,6.232,0.073,20,-0.005,0.067,20,0.016,4.239,0.097,4,0.075,0.032,4,0.019,4.559,0.080,3,0.036,0.015,3,0.012,2.145,0.062,5,-0.025,0.008,5,0.012,8.355,0.017,3,-0.006,0.015,3,0.011
HD10145,8.467,0.135,4,0.069,0.118,4,0.070,8.731,0.016,3,0.083,0.021,3,0.024,6.172,0.161,4,-0.117,0.047,4,0.028,7.646,0.061,5,0.046,0.013,5,0.014,6.424,0.031,2,0.035,0.005,2,0.009,7.490,0.064,14,0.000,0.014,14,0.005,7.150,0.042,4,0.057,0.026,4,0.021,5.209,0.000,1,-0.034,0.000,1,0.024,6.302,0.040,11,0.016,0.015,11,0.016,3.122,0.028,4,0.027,0.027,4,0.021,3.085,0.015,5,0.037,0.012,5,0.019,4.966,0.066,18,0.046,0.044,18,0.020,4.988,0.123,11,0.016,0.093,11,0.035,3.868,0.062,9,-0.007,0.024,9,0.020,5.605,0.078,10,0.008,0.058,10,0.024,5.601,0.092,5,-0.012,0.050,5,0.031,5.216,0.048,8,-0.071,0.030,8,0.018,7.404,0.086,92,-0.016,0.050,91,0.017,7.410,0.138,17,-0.019,0.107,17,0.033,4.892,0.093,7,-0.026,0.023,6,0.040,6.201,0.041,20,-0.035,0.023,20,0.011,4.143,0.081,4,-0.021,0.016,4,0.011,4.472,0.041,2,0.006,0.026,2,0.027,2.118,0.082,5,-0.052,0.026,5,0.026,8.292,0.023,3,-0.070,0.021,3,0.017
HD16623,8.194,0.102,4,-0.204,0.082,4,0.053,8.561,0.016,3,-0.086,0.022,3,0.031,5.899,0.147,4,-0.389,0.019,4,0.017,7.372,0.045,5,-0.228,0.049,5,0.031,6.091,0.024,2,-0.297,0.012,2,0.018,7.205,0.057,14,-0.285,0.028,14,0.011,6.844,0.058,4,-0.249,0.063,4,0.042,5.075,0.000,1,-0.168,0.000,1,0.038,5.984,0.034,11,-0.301,0.018,11,0.022,2.760,0.052,4,-0.335,0.062,4,0.042,2.761,0.027,5,-0.288,0.035,5,0.032,4.676,0.057,18,-0.244,0.031,18,0.026,4.744,0.065,11,-0.229,0.049,11,0.032,3.552,0.054,9,-0.323,0.029,9,0.029,5.113,0.046,10,-0.484,0.039,10,0.023,5.198,0.111,5,-0.415,0.048,5,0.035,4.653,0.059,8,-0.634,0.028,8,0.022,6.958,0.081,93,-0.462,0.061,92,0.023,6.968,0.038,17,-0.461,0.075,17,0.032,4.559,0.175,7,-0.314,0.048,6,0.075,5.793,0.049,20,-0.443,0.024,20,0.018,3.693,0.050,4,-0.472,0.054,4,0.036,4.209,0.037,3,-0.315,0.048,3,0.037,1.591,0.053,5,-0.579,0.031,5,0.033,7.926,0.008,3,-0.436,0.011,3,0.028
HD20329,8.451,0.085,4,0.053,0.079,4,0.046,8.822,0.034,3,0.174,0.034,3,0.025,6.254,0.102,4,-0.035,0.037,4,0.022,7.647,0.155,5,0.047,0.116,5,0.059,6.566,0.011,2,0.177,0.025,2,0.025,7.532,0.075,14,0.042,0.046,14,0.013,7.127,0.118,4,0.034,0.086,4,0.050,5.219,0.000,1,-0.024,0.000,1,0.011,6.337,0.072,11,0.052,0.040,11,0.015,3.163,0.058,4,0.067,0.061,4,0.036,3.193,0.050,5,0.144,0.051,5,0.027,5.068,0.049,18,0.148,0.031,18,0.011,5.089,0.050,11,0.117,0.031,11,0.013,3.971,0.107,9,0.097,0.089,9,0.032,5.533,0.055,10,-0.065,0.028,10,0.011,5.540,0.081,5,-0.073,0.017,5,0.011,5.103,0.054,8,-0.183,0.018,8,0.009,7.327,0.069,94,-0.093,0.022,92,0.010,7.333,0.044,17,-0.096,0.052,17,0.016,4.941,0.095,7,0.023,0.024,6,0.039,6.176,0.052,20,-0.060,0.035,20,0.009,4.164,0.076,4,0.000,0.011,4,0.008,4.580,0.052,3,0.056,0.031,3,0.023,2.046,0.083,5,-0.123,0.028,5,0.018,8.163,0.021,3,-0.199,0.019,3,0.014
HD21727,8.427,0.098,4,0.029,0.061,4,0.040,8.725,0.031,3,0.078,0.028,3,0.031,6.209,0.135,4,-0.080,0.025,4,0.017,7.658,0.054,5,0.058,0.059,5,0.034,6.463,0.031,2,0.075,0.005,2,0.011,7.512,0.059,14,0.022,0.028,14,0.009,7.114,0.042,4,0.021,0.025,4,0.023,5.184,0.000,1,-0.059,0.000,1,0.031,6.328,0.025,11,0.043,0.029,11,0.022,3.132,0.020,4,0.037,0.026,4,0.024,3.156,0.042,5,0.107,0.047,5,0.033,4.984,0.060,18,0.064,0.027,18,0.023,4.997,0.125,11,0.025,0.100,11,0.040,3.918,0.059,9,0.043,0.027,9,0.024,5.609,0.048,10,0.012,0.017,10,0.018,5.627,0.093,5,0.014,0.028,5,0.026,5.241,0.052,8,-0.045,0.018,8,0.019,7.426,0.100,91,0.005,0.069,90,0.021,7.437,0.051,17,0.008,0.033,17,0.026,4.909,0.122,7,0.009,0.027,6,0.052,6.236,0.051,20,-0.000,0.042,20,0.016,4.162,0.071,4,-0.002,0.021,4,0.016,4.454,0.030,2,-0.011,0.014,2,0.019,2.122,0.081,5,-0.047,0.012,5,0.030,8.272,0.027,3,-0.090,0.025,3,0.022
HD21774,8.579,0.088,4,0.182,0.041,4,0.034,8.851,0.024,3,0.204,0.020,3,0.034,6.555,0.124,4,0.267,0.032,4,0.024,7.858,0.075,5,0.258,0.043,5,0.032,6.668,0.045,2,0.279,0.009,2,0.018,7.735,0.058,14,0.245,0.021,14,0.009,7.329,0.063,4,0.235,0.025,4,0.026,5.442,0.000,1,0.199,0.000,1,0.039,6.515,0.044,11,0.230,0.020,11,0.028,3.366,0.026,4,0.271,0.033,4,0.032,3.364,0.027,5,0.316,0.023,5,0.031,5.163,0.074,18,0.243,0.042,18,0.033,5.227,0.058,11,0.255,0.044,11,0.034,4.150,0.058,9,0.275,0.023,9,0.033,5.870,0.065,10,0.272,0.035,10,0.029,5.856,0.069,5,0.243,0.028,5,0.032,5.585,0.047,8,0.298,0.031,8,0.028,7.672,0.103,94,0.252,0.079,92,0.030,7.680,0.057,17,0.251,0.032,17,0.033,5.168,0.117,7,0.260,0.013,6,0.053,6.540,0.086,20,0.303,0.111,20,0.033,4.489,0.114,4,0.325,0.032,4,0.028,4.806,0.133,3,0.283,0.056,3,0.043,2.398,0.074,5,0.228,0.013,5,0.041,8.587,0.027,3,0.225,0.025,3,0.027
HD28474,8.308,0.454,4,-0.090,0.457,4,0.265,8.378,0.017,3,-0.269,0.022,3,0.029,5.730,0.154,4,-0.558,0.054,4,0.032,7.189,0.038,5,-0.411,0.063,5,0.033,5.920,0.043,2,-0.469,0.007,2,0.009,7.029,0.051,14,-0.461,0.037,14,0.011,6.708,0.082,4,-0.385,0.089,4,0.055,4.888,0.000,1,-0.355,0.000,1,0.028,5.791,0.034,11,-0.494,0.020,11,0.014,2.727,0.079,4,-0.368,0.079,4,0.047,2.584,0.036,5,-0.465,0.044,5,0.031,4.470,0.050,18,-0.451,0.024,18,0.016,4.550,0.065,11,-0.423,0.031,11,0.025,3.344,0.074,9,-0.530,0.042,9,0.022,4.972,0.034,10,-0.626,0.055,10,0.021,5.027,0.088,5,-0.586,0.051,5,0.033,4.508,0.107,8,-0.778,0.058,8,0.025,6.807,0.071,92,-0.613,0.046,91,0.014,6.812,0.036,17,-0.617,0.071,17,0.029,4.377,0.174,7,-0.499,0.038,6,0.072,5.603,0.050,20,-0.633,0.030,20,0.012,3.534,0.030,4,-0.630,0.090,4,0.053,3.985,0.015,3,-0.539,0.087,3,0.062,1.497,0.041,5,-0.673,0.038,5,0.030,7.742,0.009,3,-0.620,0.012,3,0.019
HD176733,8.405,0.075,4,0.007,0.050,4,0.030,8.696,0.033,3,0.048,0.028,3,0.022,6.261,0.123,4,-0.027,0.025,4,0.015,7.625,0.047,5,0.025,0.042,5,0.022,6.431,0.031,2,0.042,0.005,2,0.006,7.486,0.059,14,-0.004,0.019,14,0.006,7.124,0.062,4,0.031,0.054,4,0.032,5.179,0.000,1,-0.064,0.000,1,0.013,6.282,0.041,11,-0.003,0.017,11,0.010,3.100,0.031,4,0.005,0.043,4,0.026,3.053,0.009,5,0.004,0.011,5,0.011,4.929,0.052,18,0.009,0.021,18,0.011,4.965,0.069,11,-0.007,0.027,11,0.013,3.884,0.047,9,0.009,0.020,9,0.012,5.599,0.043,10,0.001,0.019,10,0.010,5.588,0.081,5,-0.025,0.024,5,0.015,5.258,0.052,8,-0.028,0.020,8,0.011,7.403,0.077,90,-0.018,0.028,89,0.011,7.418,0.085,16,-0.017,0.022,16,0.012,4.872,0.177,7,-0.004,0.010,6,0.073,6.226,0.054,20,-0.011,0.039,20,0.010,4.217,0.109,4,0.053,0.034,4,0.020,4.538,0.102,2,-0.007,0.007,2,0.009,2.119,0.087,5,-0.051,0.026,5,0.017,8.331,0.028,3,-0.031,0.026,3,0.019
