wavelength,species,ep,gf,K11,Sun,HD1178,HD10145,HD16623,HD20329,HD21727,HD21774,HD28474,HD176733,HD191069
4365.896,26,2.99,-2.25,51.4,50.6,52.3,51.7,31.9,49.5,53.2,59,26.5,51.2,51.7
4389.245,26,0.052,-4.583,71.6,72.1,77.9,77.3,58,75.3,79.7,84.7,52.1,77.9,76.4
4445.471,26,0.087,-5.441,40.7,40.4,46.6,48,21.4,45.1,48.7,51.9,17,48.2,43.8
4602.001,26,1.608,-3.154,72.6,72.4,77.7,73.9,51.3,75.1,81.6,84.7,49.6,78.7,77.5
4779.439,26,3.415,-2.02,41.9,40.5,45.3,39.6,22.4,42,46.1,55.2,17.7,45.6,42.9
4788.757,26,3.237,-1.763,67.8,67.7,71.6,68.9,44.4,69,73.6,81.4,40.7,75,70.2
4950.106,26,3.417,-1.56,72.9,73.4,76.5,76.6,50,73.4,77.8,85.5,43.4,76.6,73
4994.129,26,0.915,-3.08,103.7,106.6,114.4,116.4,91,112.7,,124.5,82.6,109.3,
5044.211,26,2.8512,-2.058,70.9,,75,72.9,50.9,73.3,78.2,83.2,47,79.6,71.2
5054.642,26,3.64,-1.921,40.4,40.1,45.8,44.4,20.3,40.3,43.7,55.2,15.7,44.5,42.9
5127.359,26,0.915,-3.307,97.1,100.8,108.9,87.7,59.9,105.8,,110.6,,,
5127.679,26,0.052,-6.125,16.9,17.8,24.1,23.4,8,22.2,24.3,27.9,5.8,25.1,19.6
5198.711,26,2.223,-2.135,97.2,97.8,107.3,,68,99.8,73.9,74.9,68.5,,58.7
5225.525,26,0.1101,-4.789,73.2,76.1,80.7,91.1,56.9,78.5,85,93.9,49,82,80.8
5242.491,26,3.634,-0.967,85.6,84,87.5,87.1,65.2,84,87,95.7,59.5,86.3,85.1
5247.05,26,0.0872,-4.946,66.2,66.3,72.8,72.5,46.5,70.3,73.6,78.6,41.8,72.1,68.7
5250.208,26,0.1212,-4.938,69.4,69,77,75.1,47.3,73.2,76.6,82.2,41.2,75.1,71.8
5295.312,26,4.415,-1.49,29.9,29.1,,30.3,13.3,28.5,32.5,41.1,10.1,31.9,
