id,teff,logg,feh_model,vt,feh,err_feh_,feh1,err_feh1,nfe1,feh2,err_feh2,nfe2,slope_ep,err_slope_ep,slope_rew,err_slope_rew,stop_iter,converged,err_teff,err_logg,err_feh,err_vt
Sun,5777,4.440,0.0,0.97,0.0,0.000,0.0,0.000,0,0.0,0.000,0,0.000000,0.000000,0.000000,0.000000,0,,  0,0.000,0.000,0.00
K11,5836,4.440,0.06,0.98,0.062,0.023,0.062,0.024,92,0.064,0.021,16,-0.000682,0.001791,0.000080,0.009740,17,True,  7,0.023,0.007,0.02
HD1178,5650,4.360,0.015,0.93,0.013,0.028,0.013,0.023,91,0.011,0.048,17,0.000189,0.001748,0.004244,0.009915,18,True,  7,0.023,0.008,0.02
HD10145,5638,4.339,-0.032,0.96,-0.03,0.030,-0.029,0.032,87,-0.031,0.017,16,-0.000875,0.002582,0.006997,0.013745,23,True, 11,0.032,0.009,0.02
HD16623,5791,4.369,-0.462,0.97,-0.462,0.063,-0.462,0.061,92,-0.461,0.077,17,-0.000460,0.004595,0.002718,0.018446,23,True, 26,0.071,0.022,0.06
HD20329,5606,4.379,-0.092,0.88,-0.094,0.029,-0.093,0.022,92,-0.096,0.053,17,0.000036,0.001680,-0.000638,0.009102,19,True,  7,0.021,0.008,0.02
HD21727,5610,4.380,-0.015,0.96,-0.013,0.026,-0.012,0.027,87,-0.016,0.024,17,-0.000368,0.002164,0.002410,0.011740,20,True,  9,0.027,0.007,0.02
HD21774,5756,4.319,0.255,0.98,0.252,0.074,0.252,0.079,92,0.251,0.033,17,0.000099,0.005959,-0.000104,0.038765,12,True, 29,0.072,0.026,0.06
HD28474,5751,4.469,-0.613,0.93,-0.614,0.051,-0.613,0.046,91,-0.617,0.074,17,-0.000203,0.003523,-0.000176,0.013170,28,True, 17,0.057,0.014,0.05
HD176733,5609,4.409,-0.016,0.87,-0.018,0.028,-0.018,0.029,89,-0.017,0.023,16,0.000528,0.002199,-0.003080,0.012623,20,True,  9,0.027,0.007,0.02
HD191069,5710,4.259,-0.044,1.06,-0.046,0.020,-0.047,0.020,85,-0.044,0.021,17,-0.000119,0.001659,-0.001465,0.008557,19,True,  7,0.021,0.005,0.01
