NAME,PER,K,MASS,MASSUPPER,MASSLOWER,UMASS,R,RUPPER,RLOWER,UR,DENSITY,DENSITYUPPER,DENSITYLOWER,UDENSITY,TRANSITREF,TRANSITURL,ORBREF,ORBURL
K2-19 b,,,0.187,0.023,0.0359,,0.691,0.035,0.035,,,,,,,,,
K2-19 c,,,0.031,0.0123,0.0063,,0.434,0.055,0.039,,,,,,,,,
K2-3 b,,,0.026,0.0066,0.0066,,0.194,0.03,0.03,,,,,,,,,
K2-3 c,,,0.0066,0.0066,0.0041,,0.165,0.024,0.024,,,,,,,,,
K2-3 d,,,0.0349,0.011,0.011,,0.135,0.021,0.021,,,,,,,,,
K2-24 b,,,0.0661,0.017,0.017,,0.52,0.054,0.054,,,,,,,,,
K2-24 c,,,0.085,0.022,0.022,,0.723,0.073,0.073,,,,,,,,,
GJ 1132 b,,,0.0051,0.0017,0.0017,,0.103,0.0098,0.0098,,,,,,,,,
EPIC 204221263 b,,,0.038,0.009,0.009,,0.138,0.014,0.014,,,,,,,,,
EPIC 204221263 c,,,0.031,0.014,0.014,,0.22,0.03,0.03,,,,,,,,,
55 Cnc e,0.736546,6.3,0.0263671,0.00123472,0.00123472,0.00123472,0.185565,0.0142742,0.0142742,0.0142742,4.173,0.602,0.602,0.602,Demory 2011,http://adsabs.harvard.edu/abs/2011A%26A...533A.114D,Endl 2012,http://adsabs.harvard.edu/abs/2012ApJ...759...19E
CoRoT-1 b,1.5089557,188,1.02979,0.123566,0.123566,0.123566,1.49,0.08,0.08,0.08,0.38,0.05,0.05,0.05,Barge 2008,http://adsabs.harvard.edu/abs/2008A%26A...482L..17B,Barge 2008,http://adsabs.harvard.edu/abs/2008A%26A...482L..17B
CoRoT-10 b,13.2406,301,2.75536,0.160035,0.160035,0.160035,0.97,0.07,0.07,0.07,3.7,0.83,0.83,0.83,Bonomo 2010,http://adsabs.harvard.edu/abs/2010A&A...520A..65B,Bonomo 2010,http://adsabs.harvard.edu/abs/2010A&A...520A..65B
CoRoT-11 b,2.99433,280,2.34813,0.342013,0.342013,0.342013,1.43,0.03,0.03,0.03,0.99,0.15,0.15,0.15,Gandolfi 2010,http://adsabs.harvard.edu/abs/2010A&A...524A..55G,Gandolfi 2010,http://adsabs.harvard.edu/abs/2010A&A...524A..55G
CoRoT-12 b,2.828042,125.5,0.91918,0.0706803,0.0706803,0.0706803,1.44,0.13,0.13,0.13,0.41097,0.12901,0.09443,0.11172,Gillon 2010,http://adsabs.harvard.edu/abs/2010A%26A...520A..97G,Gillon 2010,http://adsabs.harvard.edu/abs/2010A%26A...520A..97G
CoRoT-13 b,4.03519,157.8,1.31099,0.0774259,0.0774259,0.0774259,0.885,0.014,0.014,0.014,2.34,0.23,0.23,0.23,Cabrera 2010,http://adsabs.harvard.edu/abs/2010A&A...522A.110C,Cabrera 2010,http://adsabs.harvard.edu/abs/2010A&A...522A.110C
CoRoT-14 b,1.51214,1230,7.69464,0.453047,0.453047,0.453047,1.09,0.07,0.07,0.07,7.3,1.5,1.5,1.5,Tingley 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A..97T,Tingley 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A..97T
CoRoT-16 b,5.35227,61.96,0.537982,0.0875118,0.0875118,0.0875118,1.17,0.14,0.16,0.15,0.44,0.21,0.14,0.175,Ollivier 2012,http://adsabs.harvard.edu/abs/2012A%26A...541A.149O,Ollivier 2012,http://adsabs.harvard.edu/abs/2012A%26A...541A.149O
CoRoT-17 b,3.7681,312.4,2.46001,0.277402,0.277402,0.277402,1.02,0.07,0.07,0.07,2.82,0.38,0.38,0.38,Csizmadia 2011,http://adsabs.harvard.edu/abs/2011A%26A...531A..41C,Csizmadia 2011,http://adsabs.harvard.edu/abs/2011A%26A...531A..41C
CoRoT-18 b,1.9000693,590,3.48652,0.375551,0.375551,0.375551,1.31,0.18,0.18,0.18,2.2,0.8,0.8,0.8,Hebrard 2011,http://adsabs.harvard.edu/abs/2011A%26A...533A.130H,Hebrard 2011,http://adsabs.harvard.edu/abs/2011A%26A...533A.130H
CoRoT-19 b,3.89713,126,1.10792,0.0644029,0.0644029,0.0644029,1.29,0.03,0.03,0.03,0.71,0.06,0.06,0.06,Guenther 2012,http://adsabs.harvard.edu/abs/2012A%26A...537A.136G,Guenther 2012,http://adsabs.harvard.edu/abs/2012A%26A...537A.136G
CoRoT-2 b,1.7429935,563,3.27527,0.170806,0.170806,0.170806,1.466,0.042,0.044,0.043,1.46523,0.07956,0.074256,0.076908,Gillon 2010,http://adsabs.harvard.edu/abs/2010A%26A...511A...3G,Gillon 2010,http://adsabs.harvard.edu/abs/2010A%26A...511A...3G
CoRoT-20 b,9.24285,454,4.24,0.23,0.23,0.23,0.84,0.04,0.04,0.04,8.87,1.1,1.1,1.1,Deleuil 2012,http://adsabs.harvard.edu/abs/2012A%26A...538A.145D,Deleuil 2012,http://adsabs.harvard.edu/abs/2012A%26A...538A.145D
CoRoT-22 b,9.75598,3.7,0.0383,0.044,0.0278,0.0359,0.445,0.015,0.037,0.026,0.249,1,0.098,0.549,Moutou 2014,http://adsabs.harvard.edu/abs/2014MNRAS.444.2783M,Moutou 2014,http://adsabs.harvard.edu/abs/2014MNRAS.444.2783M
CoRoT-23 b,3.6313,377,3.0853,0.312742,0.312742,0.312742,1.05,0.13,0.13,0.13,3,1.1,1.1,1.1,Rouan 2012,http://adsabs.harvard.edu/abs/2012A%26A...537A..54R,Rouan 2012,http://adsabs.harvard.edu/abs/2012A%26A...537A..54R
CoRoT-25 b,4.86069,30,0.27,0.04,0.04,0.04,1.08,0.3,0.1,0.2,0.15,0.15,0.06,0.105,Almenara 2013,http://adsabs.harvard.edu/abs/2013A%26A...555A.118A,Almenara 2013,http://adsabs.harvard.edu/abs/2013A%26A...555A.118A
CoRoT-26 b,4.20474,56.9,0.479479,0.0728247,0.0728247,0.0728247,1.26,0.13,0.07,0.1,0.28,0.09,0.07,0.08,Almenara 2013,http://adsabs.harvard.edu/abs/2013A%26A...555A.118A,Almenara 2013,http://adsabs.harvard.edu/abs/2013A%26A...555A.118A
CoRoT-27 b,3.57532,1326,10.3882,0.768933,0.768933,0.768933,1.007,0.044,0.044,0.044,13.4823,2.03046,2.03046,2.03046,Parviainen 2014,http://adsabs.harvard.edu/abs/2014arXiv1401.1122P,Parviainen 2014,http://adsabs.harvard.edu/abs/2014arXiv1401.1122P
CoRoT-28 b,5.20851,56.4,0.484,0.087,0.087,0.087,0.955,0.066,0.066,0.066,0.69,0.27,0.27,0.27,Cabrera 2015,http://adsabs.harvard.edu/abs/2015A%26A...579A..36C,Cabrera 2015,http://adsabs.harvard.edu/abs/2015A%26A...579A..36C
CoRoT-29 b,2.85057,125,0.85,0.2,0.2,0.2,0.9,0.16,0.16,0.16,1.45,0.74,0.74,0.74,Cabrera 2015,http://adsabs.harvard.edu/abs/2015A%26A...579A..36C,Cabrera 2015,http://adsabs.harvard.edu/abs/2015A%26A...579A..36C
CoRoT-3 b,4.2568,2194,21.8549,0.991675,0.991675,0.991675,1.01,0.07,0.07,0.07,26.4,5.6,5.6,5.6,Deleuil 2008,http://adsabs.harvard.edu/abs/2008A%26A...491..889D,Deleuil 2008,http://adsabs.harvard.edu/abs/2008A%26A...491..889D
CoRoT-4 b,9.20205,63,0.717419,0.0723897,0.0723897,0.0723897,1.19,0.055,0.055,0.055,0.525,0.15,0.15,0.15,Aigrain 2008,http://adsabs.harvard.edu/abs/2008A%26A...488L..43A,Moutou 2008,http://adsabs.harvard.edu/abs/2008A%26A...488L..47M
CoRoT-5 b,4.0378962,59.1,0.462537,0.0395129,0.0395129,0.0395129,1.388,0.046,0.047,0.0465,0.217,0.031,0.025,0.028,Rauer 2009,http://adsabs.harvard.edu/abs/2009A%26A...506..281R,Rauer 2009,http://adsabs.harvard.edu/abs/2009A%26A...506..281R
CoRoT-6 b,8.886593,280,2.95364,0.331379,0.331379,0.331379,1.166,0.035,0.035,0.035,2.32,0.31,0.31,0.31,Fridlund 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..14F,Fridlund 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..14F
CoRoT-7 b,0.85359163,3.1,0.014,0.0031,0.0031,0.0031,0.143989,0.009113,0.009113,0.009113,6.21,1.37,1.37,1.37,Leger 2009,http://adsabs.harvard.edu/abs/2009A%26A...506..287L,Haywood 2014,http://adsabs.harvard.edu/abs/2014MNRAS.443.2517H
CoRoT-8 b,6.21229,26,0.216078,0.0340009,0.0340009,0.0340009,0.57,0.02,0.02,0.02,1.6,0.1,0.1,0.1,Borde 2010,http://adsabs.harvard.edu/abs/2010A%26A...520A..66B,Borde 2010,http://adsabs.harvard.edu/abs/2010A%26A...520A..66B
CoRoT-9 b,95.2738,38,0.843564,0.0723876,0.0723876,0.0723876,1.05,0.04,0.04,0.04,0.9,0.13,0.13,0.13,Deeg 2010,http://adsabs.harvard.edu/abs/2010Natur.464..384D,Deeg 2010,http://adsabs.harvard.edu/abs/2010Natur.464..384D
GJ 1214 b,1.58040482,12.2,0.0203507,0.00313354,0.00313354,0.00313354,0.2389,0.01159,0.01159,0.01159,1.87,0.4,0.4,0.4,Carter 2011,http://adsabs.harvard.edu/abs/2011ApJ...730...82C,Carter 2011,http://adsabs.harvard.edu/abs/2011ApJ...730...82C
GJ 3470 b,3.336649,9.01,0.0440093,0.00515696,0.00515696,0.00515696,0.374365,0.0534807,0.0534807,0.0534807,1.07,0.43,0.43,0.43,Nascimbeni 2013,http://adsabs.harvard.edu/abs/2013A%26A...559A..32N,Bonfils 2012,http://adsabs.harvard.edu/abs/2012A%26A...546A..27B
GJ 436 b,2.64385,18.34,0.0726979,0.00318297,0.00318297,0.00318297,0.3767,0.0082,0.0092,0.0087,1.69,0.14,0.12,0.13,Torres 2008,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T,Maness 2007,http://adsabs.harvard.edu/abs/2007PASP..119...90M
HAT-P-1 b,4.4652934,60.3,0.532369,0.0303524,0.0303524,0.0303524,1.242,0.053,0.053,0.053,0.345,0.053,0.043,0.048,Torres 2008,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T,Bakos 2007,http://adsabs.harvard.edu/abs/2007ApJ...656..552B
HAT-P-11 b,4.8878162,11.6,0.0825354,0.00900141,0.00900141,0.00900141,0.422,0.014,0.014,0.014,1.33,0.2,0.2,0.2,Bakos 2010,http://adsabs.harvard.edu/abs/2010ApJ...710.1724B,Bakos 2010,http://adsabs.harvard.edu/abs/2010ApJ...710.1724B
