id,teff,logg,feh_model,vt,feh,err_feh_,feh1,err_feh1,nfe1,feh2,err_feh2,nfe2,slope_ep,err_slope_ep,slope_rew,err_slope_rew,stop_iter,converged,err_teff,err_logg,err_feh,err_vt
Sun,5777,4.440,0.0,0.97,0.0,0.000,0.0,0.000,0,0.0,0.000,0,0.000000,0.000000,0.000000,0.000000,0,,  0,0.000,0.000,0.00
K11,5839,4.450,0.063,0.99,0.064,0.024,0.064,0.025,92,0.065,0.021,16,-0.000465,0.001862,0.003701,0.010114,23,True,  7,0.022,0.007,0.02
HD1178,5640,4.319,0.015,0.86,0.018,0.038,0.018,0.037,91,0.019,0.050,17,-0.000600,0.002754,0.015358,0.015554,50,False,  0,0.000,0.000,0.00
HD10145,5627,4.329,-0.019,0.81,-0.017,0.071,-0.016,0.062,91,-0.021,0.111,17,-0.000116,0.004683,0.000154,0.026509,26,True, 20,0.047,0.021,0.06
HD16623,5833,4.509,-0.433,1.07,-0.434,0.085,-0.435,0.089,92,-0.429,0.071,17,0.000490,0.006657,-0.003340,0.026712,13,True, 47,0.089,0.034,0.10
HD20329,5592,4.319,-0.093,0.80,-0.094,0.052,-0.094,0.052,92,-0.095,0.056,17,0.000370,0.003873,-0.001636,0.020972,39,True, 16,0.039,0.015,0.05
HD21727,5599,4.329,0.013,0.73,0.022,0.082,0.019,0.087,90,0.035,0.050,17,-0.004419,0.006719,0.024813,0.038565,50,False,  0,0.000,0.000,0.00
HD21774,5759,4.329,0.233,0.97,0.255,0.074,0.256,0.080,92,0.252,0.033,17,-0.001322,0.005992,-0.001175,0.038981,50,False,  0,0.000,0.000,0.00
HD28474,5804,4.599,-0.58,1.06,-0.581,0.075,-0.581,0.077,91,-0.579,0.070,17,0.000052,0.005890,-0.000060,0.022011,20,True, 42,0.081,0.030,0.10
HD176733,5599,4.349,-0.013,0.77,-0.011,0.052,-0.012,0.056,89,-0.009,0.027,16,-0.000566,0.004292,-0.005290,0.024623,20,True, 16,0.040,0.015,0.05
HD191069,5739,4.329,-0.027,1.03,-0.029,0.088,-0.03,0.095,89,-0.026,0.036,17,0.000454,0.007392,-0.000775,0.040296,13,True, 29,0.085,0.025,0.08
